28-12-2023 16:11:45 |  Debug   | 10 | login.cpp | Login | QList("QSQLITE", "QMIMER", "QMARIADB", "QMYSQL", "QODBC", "QPSQL")

28-12-2023 16:11:45 | Critical | 17 | login.cpp | Login | Here is exception:  Error in creating Administrator

28-12-2023 16:11:45 |   Info   | 28 | login.cpp | Login | "de139c85a2f9326fe0aa4dd9839292ef7517f02d3a8a587cb1b3a70566d8a492"

28-12-2023 16:11:45 | Warning  | 0 |  |  | Unknown property cursor

28-12-2023 16:11:58 |  Debug   | 838 | mysqldbmanager.cpp | notificateExpiring | works

28-12-2023 16:11:58 |  Debug   | 847 | mysqldbmanager.cpp | notificateExpiring | Query execution failed or no results.

28-12-2023 16:11:58 |  Debug   | 848 | mysqldbmanager.cpp | notificateExpiring | Error: ""

28-12-2023 16:11:58 |  Debug   | 838 | mysqldbmanager.cpp | notificateExpiring | works

28-12-2023 16:11:58 |  Debug   | 847 | mysqldbmanager.cpp | notificateExpiring | Query execution failed or no results.

28-12-2023 16:11:58 |  Debug   | 848 | mysqldbmanager.cpp | notificateExpiring | Error: ""

28-12-2023 16:11:58 |  Debug   | 838 | mysqldbmanager.cpp | notificateExpiring | works

28-12-2023 16:11:58 |  Debug   | 843 | mysqldbmanager.cpp | notificateExpiring | 1

28-12-2023 16:11:58 |  Debug   | 844 | mysqldbmanager.cpp | notificateExpiring | something is expiring

28-12-2023 16:11:59 |  Debug   | 838 | mysqldbmanager.cpp | notificateExpiring | works

28-12-2023 16:11:59 |  Debug   | 843 | mysqldbmanager.cpp | notificateExpiring | 1

28-12-2023 16:11:59 |  Debug   | 844 | mysqldbmanager.cpp | notificateExpiring | something is expiring

28-12-2023 16:11:59 |  Debug   | 838 | mysqldbmanager.cpp | notificateExpiring | works

28-12-2023 16:11:59 |  Debug   | 843 | mysqldbmanager.cpp | notificateExpiring | 1

28-12-2023 16:11:59 |  Debug   | 844 | mysqldbmanager.cpp | notificateExpiring | something is expiring

28-12-2023 16:11:59 |  Debug   | 838 | mysqldbmanager.cpp | notificateExpiring | works

28-12-2023 16:11:59 |  Debug   | 843 | mysqldbmanager.cpp | notificateExpiring | 1

28-12-2023 16:11:59 |  Debug   | 844 | mysqldbmanager.cpp | notificateExpiring | something is expiring

28-12-2023 16:11:59 |  Debug   | 838 | mysqldbmanager.cpp | notificateExpiring | works

28-12-2023 16:11:59 |  Debug   | 847 | mysqldbmanager.cpp | notificateExpiring | Query execution failed or no results.

28-12-2023 16:11:59 |  Debug   | 848 | mysqldbmanager.cpp | notificateExpiring | Error: ""

28-12-2023 16:11:59 |  Debug   | 838 | mysqldbmanager.cpp | notificateExpiring | works

28-12-2023 16:11:59 |  Debug   | 847 | mysqldbmanager.cpp | notificateExpiring | Query execution failed or no results.

28-12-2023 16:11:59 |  Debug   | 848 | mysqldbmanager.cpp | notificateExpiring | Error: ""

28-12-2023 16:11:59 |  Debug   | 838 | mysqldbmanager.cpp | notificateExpiring | works

28-12-2023 16:11:59 |  Debug   | 847 | mysqldbmanager.cpp | notificateExpiring | Query execution failed or no results.

28-12-2023 16:11:59 |  Debug   | 848 | mysqldbmanager.cpp | notificateExpiring | Error: ""

